# l                Dl(TT)           sigmaDl(TT)      Dl(EE)           sigmaDl(EE)      Dl(TE)           sigmaDl(TE)      BFCMB/cal(TT)    BFCMB/cal(EE)    BFCMB/cal(TE)    
  6.80019593e+02   1.76228181e+03   3.08223617e+01   3.66370034e+01   1.17665310e+00  -6.68599714e+01   4.24091104e+00   1.80731586e+03   3.75318580e+01  -6.49864267e+01
  6.89019337e+02   1.82420854e+03   3.09260002e+01   3.81497659e+01   1.19229422e+00  -8.08899316e+01   4.30187774e+00   1.82556183e+03   3.77213118e+01  -7.97296775e+01
  6.98019088e+02   1.88678211e+03   3.12571562e+01   3.89784529e+01   1.20043438e+00  -9.43079167e+01   4.36517554e+00   1.85799703e+03   3.74279226e+01  -9.35200788e+01
  7.07018845e+02   1.89282418e+03   3.17886019e+01   3.65489270e+01   1.20162356e+00  -1.00054566e+02   4.42687983e+00   1.90320844e+03   3.66650210e+01  -1.05890612e+02
  7.16018609e+02   1.91053165e+03   3.24878119e+01   3.64639385e+01   1.19666247e+00  -1.14050101e+02   4.48268308e+00   1.95930998e+03   3.54644442e+01  -1.16407453e+02
  7.25018378e+02   1.99626099e+03   3.33132090e+01   3.34686931e+01   1.18661953e+00  -1.22612541e+02   4.52824722e+00   2.02390836e+03   3.38736857e+01  -1.24686093e+02
  7.34018153e+02   2.05212145e+03   3.42193306e+01   3.22925332e+01   1.17272905e+00  -1.27813682e+02   4.55985815e+00   2.09442152e+03   3.19536815e+01  -1.30434230e+02
  7.43017933e+02   2.18680247e+03   3.51624940e+01   2.77119980e+01   1.15637069e+00  -1.30734256e+02   4.57535489e+00   2.16798884e+03   2.97772425e+01  -1.33425495e+02
  7.52017719e+02   2.26220567e+03   3.61001788e+01   2.73346574e+01   1.13897246e+00  -1.31340555e+02   4.57400467e+00   2.24167927e+03   2.74278437e+01  -1.33554978e+02
  7.61017509e+02   2.34690985e+03   3.69860053e+01   2.47146012e+01   1.12201629e+00  -1.26836010e+02   4.55658110e+00   2.31258213e+03   2.49905717e+01  -1.30782875e+02
  7.70017305e+02   2.35063380e+03   3.77779133e+01   2.11236714e+01   1.10690585e+00  -1.17138116e+02   4.52551159e+00   2.37786261e+03   2.25569518e+01  -1.25201588e+02
  7.79017105e+02   2.35311094e+03   3.84381263e+01   1.94018905e+01   1.09492408e+00  -1.09148936e+02   4.48439978e+00   2.43483400e+03   2.02186286e+01  -1.16975022e+02
  7.88016910e+02   2.48344569e+03   3.89336438e+01   1.93857505e+01   1.08719695e+00  -1.04378012e+02   4.43745509e+00   2.48119437e+03   1.80614332e+01  -1.06355220e+02
  7.97016719e+02   2.46919920e+03   3.92475123e+01   1.73374314e+01   1.08466381e+00  -8.91940753e+01   4.38978742e+00   2.51493307e+03   1.61690862e+01  -9.36493062e+01
  8.06016532e+02   2.49621626e+03   3.93498529e+01   1.61699920e+01   1.08807249e+00  -7.70885394e+01   4.34605508e+00   2.53453141e+03   1.46112024e+01  -7.92880998e+01
  8.15016350e+02   2.55516653e+03   3.92250125e+01   1.41764770e+01   1.09797938e+00  -6.47847595e+01   4.31056104e+00   2.53884231e+03   1.34475793e+01  -6.36930305e+01
  8.24016171e+02   2.52423199e+03   3.88683446e+01   1.21354760e+01   1.11473640e+00  -5.00371750e+01   4.28633617e+00   2.52747688e+03   1.27219372e+01  -4.73536697e+01
  8.33015997e+02   2.49743713e+03   3.82841671e+01   1.16378122e+01   1.13850734e+00  -2.79392803e+01   4.27479345e+00   2.50018247e+03   1.24656453e+01  -3.07649350e+01
  8.42015826e+02   2.50790184e+03   3.74798046e+01   1.33181798e+01   1.16933431e+00  -1.78827895e+01   4.27557584e+00   2.45727178e+03   1.26906088e+01  -1.44293111e+01
  8.51015659e+02   2.38543069e+03   3.64674342e+01   1.30449466e+01   1.20714380e+00   3.01300162e+00   4.28681725e+00   2.39990822e+03   1.33933575e+01   1.16648319e+00
